County,State,ST,Fips,Precincts,Votes,Democrats 08,Democrats 12,Republicans 08,Republicans 12,Republicans Perc 16,Democrats Perc 16,Republicans Perc 12,Democrats Perc 12,Votes Trump,Votes Clinton
"Wilson County, North Carolina",North Carolina,NC,37195,24,37593,19652,20875,17375,17954,46.31181337,51.94318091,45.9075916,53.37646066,17410,19527
"San Miguel County, New Mexico",New Mexico,NM,35047,28,10697,10320,8850,2478,2303,21.52005235,67.76666355,20.01042662,76.89634199,2302,7249
"Franklin Parish, Louisiana",Louisiana,LA,22041,25,9162,2961,2921,6278,6294,71.09801353,27.35210653,67.41645244,31.28748929,6514,2506
"Lackawanna County, Pennsylvania",Pennsylvania,PA,42069,163,102740,67520,61838,39488,35085,46.81915515,50.21705275,35.7955415,63.09034331,48102,51593
"Walthall County, Mississippi",Mississippi,MS,28147,20,5909,3456,3422,4253,4051,57.09933999,41.88525977,53.64852337,45.31850086,3374,2475
"Panola County, Mississippi",Mississippi,MS,28107,25,14854,8690,9079,7620,7629,49.62299717,49.14501144,45.3405444,53.95815999,7371,7300
"Mineral County, Montana",Montana,MT,30061,6,1985,845,700,1053,1216,66.59949622,25.94458438,60.16823355,34.63631865,1322,515
"Franklin County, New York",New York,NY,36033,49,15148,10571,9894,6676,5740,50.40929496,43.02218115,36.02359734,62.09363625,7636,6517
"Wasco County, Oregon",Oregon,OR,41065,14,11251,5906,5211,5103,5229,50.84881344,41.18745,48.09160305,47.92605537,5721,4634
"Cambria County, Pennsylvania",Pennsylvania,PA,42021,133,60167,32451,24249,31995,35163,67.32926687,29.58099955,58.09569441,40.06377425,40510,17798
"Abbeville County, South Carolina",South Carolina,SC,45001,14,10724,4593,4543,6264,5981,62.86833271,34.61395002,56.04910505,42.57332958,6742,3712
"Orange County, Florida",Florida,FL,12095,247,545800,273009,273665,186832,188589,35.74404544,60.3845731,40.43858916,58.68118767,195091,329579
"Newport County, Rhode Island",Rhode Island,RI,44005,41,39813,25479,23463,15717,15202,37.61334238,56.96631753,38.53290074,59.4722701,14975,22680
"Calhoun County, Michigan",Michigan,MI,26025,62,58786,34561,29267,28553,28333,53.56547477,41.08801415,48.57613112,50.17744784,31489,24154
"Rice County, Minnesota",Minnesota,MN,27131,31,32217,17381,17054,13723,14384,47.89086507,44.81174535,44.57805188,52.85275979,15429,14437
"Pulaski County, Missouri",Missouri,MO,29169,9,13443,5249,4199,9552,9092,73.42111136,21.70646433,66.99579987,30.94097708,9870,2918
"Washington County, Maryland",Maryland,MD,24043,52,60731,26245,25042,34169,36074,63.95745171,31.6032998,57.48386583,39.90439009,38842,19193
"Alamance County, North Carolina",North Carolina,NC,37001,37,69264,28918,28875,34859,38170,55.20183645,42.25571726,56.31787063,42.60357649,38235,29268
"Bonneville County, Idaho",Idaho,ID,16019,55,44212,11417,9903,29334,32276,60.38858229,20.19813625,74.68357359,22.91459379,26699,8930
"Comanche County, Oklahoma",Oklahoma,OK,40031,39,32504,14120,12521,20127,17664,58.92505538,35.19259168,58.51913202,41.48086798,19153,11439
"Upshur County, West Virginia",West Virginia,WV,54097,21,9180,2925,2158,5911,5939,75.93681917,19.20479303,71.78774326,26.08485435,6971,1763
"Branch County, Michigan",Michigan,MI,26023,22,16490,8413,6913,9534,10035,66.85870224,28.74469375,58.52335686,40.31609028,11025,4740
"Hamlin County, South Dakota",South Dakota,SD,46057,7,2762,1043,921,1661,1803,74.25778421,20.09413469,64.55424275,32.97529538,2051,555
"Goliad County, Texas",Texas,TX,48175,10,3713,1329,1127,2298,2294,70.50902235,26.20522489,66.33892423,32.59109312,2618,973
"Stevens County, Washington",Washington,WA,53065,15,16438,8499,7762,13132,13691,67.277041,26.45090644,61.77970308,35.02549524,11059,4348
"Dawson County, Texas",Texas,TX,48115,10,3562,1152,1019,2906,2591,74.00336889,23.44188658,71.14222954,27.97913234,2636,835
"Cumberland County, Virginia",Virginia,VA,51049,6,4875,2255,2422,2418,2538,55.24102564,41.68205128,50.27733756,47.97939778,2693,2032
"Hillsborough County, New Hampshire",New Hampshire,NH,33011,50,210844,104820,102303,97178,99991,47.43459619,47.23349965,48.61791148,49.74205876,100013,99589
"Wolfe County, Kentucky",Kentucky,KY,21237,8,2635,1493,976,1408,1542,68.4629981,28.57685009,60.25791325,38.1398984,1804,753
"Caroline County, Maryland",Maryland,MD,24011,8,13282,4971,4970,8015,8098,67.7533504,28.21111278,60.62738639,37.20895411,8999,3747
